,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
170,Patrick County Public Schools,Stuart,36.643208,-80.199593,Patrick Springs Elementary School,PK-3,8.0,61%,263,5,1,,9.0,6.0,78.0,7.0,,13.0,
171,Patrick County Public Schools,Stuart,36.788342,-80.275566,Woolwine Elementary School,PK-7,8.0,59%,181,0,0,,2.0,8.0,86.0,4.0,,12.0,
172,Pittsylvania County Public Schools,Chatham,36.656235,-79.302841,Kentuck Elementary School,PK-5,8.0,60%,586,5,11,,18.0,3.0,74.0,4.0,,14.0,
173,Poquoson City Public Schools,Poquoson,37.128479,-76.360687,Poquoson Elementary School,3-5,8.0,20%,482,4,20,2.0,1.0,2.0,93.0,2.0,,15.0,
174,Poquoson City Public Schools,Poquoson,37.129051,-76.364601,Poquoson Middle School,6-8,8.0,18%,523,4,10,2.0,1.0,2.0,90.0,3.0,1.0,14.0,1.0
175,Prince George County Public Schools,Prince George,37.128296,-77.312378,South Elementary School,PK-5,8.0,42%,455,5,10,,20.0,9.0,61.0,7.0,,13.0,1.0
176,Prince George County Public Schools,Prince George,37.201412,-77.329437,William A. Walton Elementary School,PK-5,8.0,47%,636,4,78,1.0,37.0,12.0,40.0,8.0,,15.0,1.0
177,Prince William County Public Schools,Manassas,38.681366,-77.420265,Thurgood Marshall Elementary School,PK-5,8.0,13%,652,4,46,8.0,8.0,14.0,61.0,8.0,,18.0,1.0
178,Prince William County Public Schools,Manassas,38.837048,-77.628128,Mountain View Elementary School,PK-5,8.0,6%,587,5,97,10.0,7.0,10.0,65.0,7.0,1.0,17.0,
179,Prince William County Public Schools,Manassas,38.682487,-77.305252,Old Bridge Elementary School,PK-5,8.0,38%,740,5,33,11.0,14.0,30.0,38.0,7.0,,16.0,
180,Prince William County Public Schools,Manassas,38.737282,-77.581276,E.H. Marsteller Middle School,6-8,8.0,14%,1348,3,51,11.0,12.0,16.0,54.0,6.0,,18.0,
181,Prince William County Public Schools,Manassas,38.785286,-77.478989,Loch Lomond Elementary School,PK-5,8.0,80%,563,4,31,3.0,6.0,77.0,12.0,2.0,,12.0,
182,Prince William County Public Schools,Manassas,38.671787,-77.259491,Occoquan Elementary School,PK-5,8.0,65%,632,5,28,7.0,20.0,53.0,15.0,4.0,1.0,13.0,
183,Prince William County Public Schools,Manassas,38.726089,-77.580063,Patriot High School,9-12,8.0,12%,2726,3,98,12.0,11.0,16.0,54.0,7.0,,19.0,
184,Prince William County Public Schools,Manassas,38.761852,-77.589272,Bristow Run Elementary School,PK-5,8.0,15%,699,5,15,10.0,11.0,16.0,53.0,9.0,,16.0,
185,Pulaski County Public Schools,Pulaski,37.023064,-80.592484,Snowville Elementary School,PK-5,8.0,54%,155,5,3,,,1.0,97.0,2.0,,9.0,
186,Roanoke County Public Schools,Roanoke,37.213402,-80.016403,Cave Spring Elementary School,PK-5,8.0,18%,481,4,12,6.0,6.0,8.0,77.0,3.0,,18.0,
187,Roanoke County Public Schools,Roanoke,37.213402,-80.000702,Cave Spring High School,9-12,8.0,17%,1014,4,20,4.0,5.0,4.0,81.0,5.0,,22.0,
188,Roanoke County Public Schools,Roanoke,37.231602,-79.988602,Green Valley Elementary School,PK-5,8.0,35%,520,5,9,7.0,7.0,8.0,71.0,7.0,,18.0,
189,Roanoke County Public Schools,Roanoke,37.255501,-80.029602,Hidden Valley Middle School,6-8,8.0,23%,612,3,37,6.0,6.0,6.0,76.0,6.0,,15.0,
190,Rockbridge County Public Schools,Lexington,37.620296,-79.499268,Natural Bridge Elementary School,PK-5,8.0,63%,277,2,8,,5.0,5.0,83.0,8.0,,11.0,
191,Rockingham County Public Schools,Harrisonburg,38.605595,-78.794746,Broadway High School,9-12,8.0,34%,1020,5,3,1.0,1.0,9.0,87.0,2.0,,16.0,
192,Russell County Public Schools,Lebanon,37.040436,-81.921997,Swords Creek Elementary School,3-7,8.0,68%,142,0,0,,1.0,1.0,98.0,,,12.0,
193,Scott County Public Schools,Gate City,36.709583,-82.803093,Duffield-Pattonsville Primary School,PK-4,8.0,75%,293,3,7,,,1.0,97.0,2.0,,16.0,
194,Scott County Public Schools,Gate City,36.732128,-82.691681,Rye Cove Intermediate School,5-7,8.0,58%,165,0,0,,1.0,2.0,96.0,1.0,,15.0,
195,Scott County Public Schools,Gate City,36.641109,-82.57637,Shoemaker Elementary School,PK-6,8.0,85%,565,5,9,,1.0,2.0,95.0,2.0,,16.0,
196,Scott County Public Schools,Gate City,36.779789,-82.463341,Twin Springs High School,8-12,8.0,67%,236,4,11,1.0,,3.0,94.0,1.0,,13.0,
197,Smyth County Public Schools,Marion,36.93,-81.626549,Northwood Middle School,6-8,8.0,64%,177,4,9,1.0,2.0,1.0,95.0,1.0,,11.0,
198,Smyth County Public Schools,Marion,36.926384,-81.625511,Rich Valley Elementary School,PK-5,8.0,58%,159,5,2,,,4.0,96.0,,,11.0,
199,Southampton County Public Schools,Courtland,36.845089,-76.984497,Nottoway Elementary School,PK-5,8.0,43%,315,4,3,,18.0,2.0,77.0,2.0,,18.0,1.0
200,Spotsylvania County Public Schools,Fredericksburg,38.293404,-77.582268,Chancellor Elementary School,PK-5,8.0,21%,443,5,21,4.0,8.0,8.0,71.0,9.0,,17.0,
201,Suffolk City Public Schools,Suffolk,36.890911,-76.412842,Northern Shores Elementary School,PK-5,8.0,23%,895,5,19,3.0,39.0,9.0,40.0,8.0,,18.0,
202,Tazewell County Public Schools,Tazewell,37.093643,-81.784164,Richlands Elementary School,PK-5,8.0,85%,539,2,3,,,1.0,96.0,3.0,,19.0,
203,VA Beach City Public Schools,Virginia Beach,36.881439,-76.124657,Independence Middle School,6-8,8.0,41%,1231,3,28,4.0,21.0,12.0,54.0,8.0,,15.0,
204,VA Beach City Public Schools,Virginia Beach,36.8978,-76.061798,John B. Dey Elementary School,PK-5,8.0,18%,830,4,101,3.0,5.0,7.0,80.0,5.0,,17.0,
205,VA Beach City Public Schools,Virginia Beach,36.822285,-76.159637,Kempsville Elementary School,PK-5,8.0,36%,477,4,16,6.0,13.0,13.0,56.0,10.0,,11.0,2.0
206,VA Beach City Public Schools,Virginia Beach,36.857094,-76.136627,Pembroke Elementary School,PK-5,8.0,59%,532,5,4,8.0,20.0,14.0,48.0,10.0,,10.0,1.0
207,VA Beach City Public Schools,Virginia Beach,36.785954,-76.147308,Salem Middle School,6-8,8.0,39%,1037,3,16,12.0,27.0,13.0,34.0,14.0,,15.0,1.0
208,VA Beach City Public Schools,Virginia Beach,36.784595,-75.991608,Ocean Lakes Elementary School,PK-5,8.0,25%,536,4,44,2.0,12.0,11.0,62.0,12.0,,15.0,
209,VA Beach City Public Schools,Virginia Beach,36.773338,-76.139061,Glenwood Elementary School,PK-5,8.0,37%,1002,5,16,11.0,23.0,13.0,37.0,15.0,,14.0,1.0
210,Washington County Public Schools,Abingdon,36.71302,-82.016762,Abingdon Elementary School,PK-5,8.0,46%,484,5,4,1.0,2.0,2.0,92.0,3.0,,12.0,
211,Washington County Public Schools,Abingdon,36.653698,-81.793846,Holston High School,9-12,8.0,57%,301,5,2,,1.0,3.0,94.0,2.0,,11.0,
212,Washington County Public Schools,Abingdon,36.639656,-81.804008,Damascus Middle School,6-8,8.0,60%,204,0,0,,,3.0,93.0,4.0,,13.0,
213,Washington County Public Schools,Abingdon,36.683208,-81.817619,Rhea Valley Elementary School,PK-5,8.0,66%,425,5,2,,,1.0,97.0,1.0,,11.0,
214,West Point Public Schools,West Point,37.557777,-76.795052,West Point Elementary School,PK-5,8.0,39%,355,5,2,1.0,12.0,8.0,68.0,10.0,1.0,14.0,
215,Wise County Public Schools,Wise,36.955128,-82.598175,Central High School,9-12,8.0,46%,659,3,10,1.0,,1.0,98.0,1.0,,14.0,
216,Wythe County Public Schools,Wytheville,36.862606,-80.864731,Jackson Memorial Elementary School,PK-5,8.0,60%,218,5,7,,,,97.0,2.0,,17.0,
217,York County Public Schools,Yorktown,37.163513,-76.470062,Grafton High School,9-12,8.0,14%,1181,4,44,9.0,11.0,8.0,60.0,11.0,,16.0,
218,York County Public Schools,Yorktown,37.164089,-76.470695,Grafton Middle School,6-8,8.0,15%,902,4,23,9.0,11.0,8.0,59.0,13.0,,16.0,
219,York County Public Schools,Yorktown,37.162617,-76.458214,Dare Elementary School,PK-5,8.0,30%,417,4,23,3.0,6.0,13.0,68.0,8.0,1.0,15.0,
220,York County Public Schools,Yorktown,37.124508,-76.435234,Tabb High School,9-12,8.0,14%,1136,4,41,7.0,12.0,12.0,60.0,9.0,,16.0,
221,Henrico County Public Schools,Richmond,37.645851,-77.607452,Pocahontas Middle School,6-8,8.0,17%,979,3,30,10.0,8.0,6.0,73.0,3.0,,16.0,
222,Henrico County Public Schools,Richmond,37.667645,-77.544312,Echo Lake Elementary School,PK-5,8.0,22%,576,5,21,18.0,9.0,9.0,57.0,7.0,,16.0,
223,VA Beach City Public Schools,Virginia Beach,36.766228,-76.109703,New Castle Elementary School,PK-5,8.0,21%,785,5,37,11.0,16.0,9.0,51.0,13.0,,16.0,1.0
224,Henrico County Public Schools,Richmond,37.672398,-77.599121,Twin Hickory Elementary School,PK-5,8.0,8%,582,5,51,50.0,8.0,4.0,35.0,4.0,,19.0,
225,Prince William County Public Schools,Manassas,38.623062,-77.394165,Ashland Elementary School,PK-5,8.0,12%,796,4,85,5.0,18.0,16.0,52.0,8.0,,18.0,1.0
226,Stafford County Public Schools,Stafford,38.450764,-77.460785,Rodney E. Thompson Middle School,6-8,8.0,16%,912,3,33,4.0,18.0,14.0,55.0,7.0,,16.0,1.0
227,Loudoun County Public Schools,Broadlands,39.015224,-77.515541,Eagle Ridge Middle School,6-8,8.0,5%,1276,3,46,31.0,4.0,7.0,51.0,7.0,,16.0,
228,Hanover County Public Schools,Ashland,37.686192,-77.38385,Oak Knoll Middle School,6-8,8.0,14%,903,3,35,2.0,8.0,3.0,83.0,3.0,1.0,12.0,
229,Roanoke County Public Schools,Roanoke,37.223999,-80.024101,Hidden Valley High School,9-12,8.0,16%,830,4,22,7.0,5.0,4.0,79.0,6.0,,18.0,
230,Wythe County Public Schools,Wytheville,36.945972,-81.068985,Scott Memorial Middle School,6-8,8.0,47%,334,4,1,2.0,12.0,2.0,81.0,2.0,,17.0,
231,Henrico County Public Schools,Richmond,37.686993,-77.57869,Rivers Edge Elementary School,PK-5,8.0,5%,720,5,32,53.0,4.0,2.0,35.0,6.0,,18.0,
232,Newport News City Public Schools,Newport News,37.154037,-76.574104,General Stanford Elementary School,PK-5,8.0,33%,456,4,10,4.0,19.0,21.0,44.0,10.0,2.0,18.0,1.0
233,Loudoun County Public Schools,Broadlands,39.058468,-77.511772,Belmont Station Elementary School,PK-5,8.0,5%,713,5,33,21.0,6.0,10.0,55.0,7.0,,16.0,
234,Prince William County Public Schools,Manassas,38.798313,-77.636368,Buckland Mills Elementary School,PK-5,8.0,20%,655,4,45,19.0,11.0,15.0,48.0,7.0,,19.0,
235,Loudoun County Public Schools,Broadlands,38.980148,-77.525841,Legacy Elementary School,PK-5,8.0,2%,1043,5,38,36.0,4.0,6.0,49.0,5.0,,20.0,
236,VA Beach City Public Schools,Virginia Beach,36.75341,-76.01326,Three Oaks Elementary School,PK-5,8.0,15%,753,4,14,3.0,4.0,10.0,71.0,11.0,,15.0,
237,Prince William County Public Schools,Manassas,38.845329,-77.629921,Battlefield High School,9-12,8.0,10%,2964,3,89,11.0,9.0,13.0,59.0,8.0,,19.0,
238,Loudoun County Public Schools,Broadlands,38.914146,-77.535042,Freedom High School,9-12,8.0,7%,1921,4,48,29.0,6.0,9.0,50.0,5.0,,14.0,
239,Loudoun County Public Schools,Broadlands,39.037876,-77.577721,Sycolin Creek Elementary School,PK-5,8.0,2%,749,4,41,13.0,3.0,6.0,70.0,7.0,,15.0,
240,Prince William County Public Schools,Manassas,38.782959,-77.59758,Gainesville Middle School,6-8,8.0,15%,1440,4,47,14.0,13.0,17.0,49.0,7.0,,17.0,
241,Chesterfield County Public Schools,Chesterfield,37.379555,-77.712029,Winterpock Elementary School,PK-5,8.0,6%,1047,5,15,4.0,9.0,7.0,72.0,6.0,,19.0,
242,Loudoun County Public Schools,Broadlands,39.158783,-77.730484,Woodgrove High School,PK-12,8.0,6%,1637,3,60,3.0,3.0,7.0,83.0,3.0,,14.0,
243,Prince William County Public Schools,Manassas,38.725502,-77.578407,T. Clay Wood Elementary School,PK-5,8.0,10%,903,5,26,9.0,12.0,15.0,57.0,6.0,,18.0,
244,Loudoun County Public Schools,Broadlands,38.896698,-77.523026,J Michael Lunsford Middle School,6-8,8.0,8%,1650,5,18,35.0,5.0,8.0,47.0,4.0,,16.0,
245,Loudoun County Public Schools,Broadlands,38.932343,-77.565704,John Champe High School,9-12,8.0,10%,2047,4,66,32.0,10.0,10.0,41.0,6.0,,14.0,
246,Loudoun County Public Schools,Broadlands,38.999317,-77.505394,Moorefield Station Elementary School,PK-5,7.0,8%,902,4,80,46.0,7.0,8.0,33.0,5.0,,18.0,1.0
247,Sussex County Public Schools,Stony Creek,36.922215,-77.250618,Sussex Central Elementary School,PK-5,7.0,80%,527,0,0,,76.0,4.0,19.0,1.0,,11.0,
248,Loudoun County Public Schools,Broadlands,39.055412,-77.502571,Trailside Middle School,6-8,7.0,10%,1222,3,90,18.0,6.0,11.0,59.0,5.0,,14.0,
249,Loudoun County Public Schools,Broadlands,38.977871,-77.500015,ROCK RIDGE HIGH SCHOOL,PK-12,7.0,11%,1948,4,58,35.0,10.0,10.0,38.0,6.0,,13.0,
250,Prince William County Public Schools,Manassas,38.806549,-77.651482,Haymarket Elementary School,K-5,7.0,13%,845,5,14,13.0,12.0,14.0,54.0,7.0,,17.0,
251,VA Beach City Public Schools,Virginia Beach,36.857719,-76.139275,Bayside 6th Grade Campus,K-1,7.0,69%,440,0,0,3.0,58.0,14.0,16.0,10.0,,11.0,
252,Accomack County Public Schools,Accomac,37.937782,-75.356628,Chincoteague Elementary School,PK-5,7.0,43%,236,4,4,1.0,17.0,1.0,79.0,2.0,,13.0,
253,Accomack County Public Schools,Accomac,37.939186,-75.358994,Chincoteague High School,6-12,7.0,36%,286,5,3,,14.0,3.0,82.0,,,11.0,
254,Albemarle County Public Schools,Charlottesville,38.050533,-78.707771,Western Albemarle High School,9-12,7.0,11%,1139,3,20,3.0,2.0,4.0,88.0,3.0,,12.0,
255,Alexandria City Public Schools,Alexandria,38.799438,-77.046638,Lyles-Crouch Elementary,PK-5,7.0,22%,437,3,51,3.0,29.0,8.0,53.0,7.0,,13.0,
256,Amherst County Public Schools,Amherst,37.5695,-79.032043,Amherst Middle School,6-8,7.0,45%,358,5,1,,11.0,3.0,77.0,9.0,1.0,14.0,
257,Amherst County Public Schools,Amherst,37.693066,-79.081779,Temperance Elementary School,PK-5,7.0,52%,113,5,1,,14.0,2.0,82.0,2.0,,15.0,
258,Arlington County Public Schools,Arlington,38.878605,-77.146606,McKinley Elementary School,PK-5,7.0,8%,800,4,35,5.0,4.0,11.0,70.0,11.0,,13.0,
259,Augusta County Public Schools,Verona,38.032784,-79.139961,Riverheads High School,9-12,7.0,28%,460,5,4,1.0,2.0,1.0,93.0,2.0,,12.0,
260,Augusta County Public Schools,Verona,38.051521,-79.014954,Stuarts Draft High School,9-12,7.0,31%,722,3,11,1.0,2.0,4.0,89.0,3.0,,12.0,
261,Bedford County Public Schools,Bedford,37.531326,-79.416122,Big Island Elementary School,PK-5,7.0,47%,137,4,1,,5.0,,86.0,9.0,,17.0,
262,Bedford County Public Schools,Bedford,37.30695,-79.306778,New London Academy Elementary,PK-5,7.0,28%,319,5,2,4.0,5.0,3.0,80.0,6.0,,11.0,1.0
263,Bedford County Public Schools,Bedford,37.37558,-79.307953,Forest Elementary School,K-5,7.0,13%,359,5,15,6.0,6.0,5.0,79.0,4.0,,19.0,
264,Bedford County Public Schools,Bedford,37.37775,-79.304489,Jefferson Forest High School,9-12,7.0,13%,1387,4,29,4.0,6.0,3.0,84.0,3.0,,19.0,
265,Bland County Public Schools,Bastian,37.103199,-81.114098,Bland High School,7-12,7.0,44%,383,0,0,,,1.0,97.0,2.0,,9.0,
266,Bland County Public Schools,Bastian,37.103214,-81.11409,Bland Elementary School,PK-6,7.0,53%,347,0,0,,,1.0,96.0,2.0,,18.0,
267,Botetourt County Public Schools,Fincastle,37.546764,-79.725792,James River High School,9-12,7.0,26%,548,5,3,1.0,2.0,1.0,94.0,2.0,,14.0,
268,Bristol City Public Schools,Bristol,36.597466,-82.207237,Stonewall Jackson Elementary School,PK-5,7.0,98%,261,0,0,,6.0,4.0,79.0,10.0,,15.0,
269,Campbell County Public Schools,Rustburg,37.344326,-79.23761,Tomahawk Elementary School,PK-5,7.0,41%,683,2,16,3.0,9.0,5.0,74.0,8.0,,16.0,
270,Carroll County Public Schools,Hillsville,36.78756,-80.694687,Hillsville Elementary School,PK-5,7.0,65%,515,4,2,,,7.0,92.0,1.0,,13.0,
271,Chesapeake Public Schools,Chesapeake,36.763168,-76.282784,Crestwood Middle School,6-8,7.0,49%,573,3,4,3.0,50.0,10.0,28.0,8.0,,13.0,
272,Chesapeake Public Schools,Chesapeake,36.7561,-76.347542,Deep Creek Elementary School,PK-5,7.0,38%,736,4,57,1.0,17.0,14.0,60.0,8.0,,17.0,
273,Chesapeake Public Schools,Chesapeake,36.801914,-76.244926,Georgetown Primary School,PK-3,7.0,61%,805,4,51,2.0,54.0,10.0,25.0,9.0,,15.0,
274,Chesapeake Public Schools,Chesapeake,36.652573,-76.214821,Hickory Middle School,6-8,7.0,11%,1591,4,25,2.0,6.0,6.0,79.0,7.0,,15.0,
275,Chesapeake Public Schools,Chesapeake,36.631271,-76.209946,Hickory Elementary School,PK-5,7.0,28%,461,5,48,,3.0,8.0,82.0,7.0,,17.0,
276,Chesapeake Public Schools,Chesapeake,36.848106,-76.407143,Western Branch High School,9-12,7.0,29%,2129,4,28,3.0,42.0,5.0,43.0,6.0,,16.0,
277,Chesapeake Public Schools,Chesapeake,36.690701,-76.239334,Great Bridge High School,9-12,7.0,19%,1449,4,19,3.0,20.0,7.0,64.0,6.0,,14.0,
278,Chesapeake Public Schools,Chesapeake,36.740078,-76.339043,Deep Creek Central Elementary School,PK-5,7.0,22%,710,4,42,1.0,25.0,13.0,50.0,11.0,,16.0,
279,Chesterfield County Public Schools,Chesterfield,37.495865,-77.653,J B Watkins Elementary School,PK-5,7.0,10%,1220,4,37,7.0,8.0,4.0,76.0,5.0,,18.0,
280,Chesterfield County Public Schools,Chesterfield,37.502319,-77.648964,Midlothian Middle School,6-8,7.0,8%,1325,3,70,5.0,8.0,4.0,79.0,4.0,,16.0,
281,Chesterfield County Public Schools,Chesterfield,37.531651,-77.613319,Robious Elementary School,PK-5,7.0,10%,652,4,46,4.0,6.0,5.0,80.0,6.0,,17.0,
282,Chesterfield County Public Schools,Chesterfield,37.39579,-77.642128,Alberta Smith Elementary School,PK-5,7.0,22%,625,4,20,1.0,12.0,11.0,69.0,7.0,,16.0,
283,Chesterfield County Public Schools,Chesterfield,37.477722,-77.616074,W W Gordon Elementary School,PK-5,7.0,12%,578,3,70,4.0,7.0,5.0,77.0,7.0,,18.0,
284,Chesterfield County Public Schools,Chesterfield,37.451473,-77.659157,Swift Creek Elementary School,PK-5,7.0,13%,872,4,33,6.0,10.0,6.0,71.0,6.0,,19.0,
285,Dickenson County Public Schools,Clintwood,37.180984,-82.275665,Sandlick Elementary School,PK-5,7.0,79%,438,5,2,,1.0,,97.0,1.0,,16.0,
286,Dinwiddie County Public Schools,Dinwiddie,37.129543,-77.534241,Southside Elementary School,PK-5,7.0,70%,513,5,15,,40.0,15.0,40.0,6.0,,13.0,
287,Dinwiddie County Public Schools,Dinwiddie,36.987076,-77.727524,Sunnyside Elementary School,K-5,7.0,64%,265,4,5,,22.0,4.0,69.0,5.0,,13.0,
288,Fairfax County Public Schools,Falls Church,38.880314,-77.406258,Chantilly High School,9-12,7.0,16%,2810,4,54,35.0,6.0,14.0,41.0,4.0,,13.0,
289,Fairfax County Public Schools,Falls Church,38.876415,-77.344734,Waples Mill Elementary School,PK-6,7.0,10%,919,4,43,23.0,3.0,9.0,57.0,8.0,,13.0,
290,Fairfax County Public Schools,Falls Church,38.848286,-77.225159,Camelot Elementary School,PK-6,7.0,35%,666,5,27,22.0,10.0,27.0,35.0,5.0,,11.0,
291,Fairfax County Public Schools,Falls Church,38.829205,-77.175789,Columbia Elementary School,PK-5,7.0,36%,503,5,42,17.0,16.0,28.0,33.0,6.0,,11.0,
292,Fairfax County Public Schools,Falls Church,38.869759,-77.247887,Fairhill Elementary School,PK-6,7.0,22%,583,5,58,26.0,7.0,23.0,35.0,8.0,,13.0,
293,Fairfax County Public Schools,Falls Church,38.904064,-77.225281,Kilmer Middle School,7-8,7.0,15%,1201,4,72,24.0,5.0,15.0,48.0,7.0,,15.0,
294,Fairfax County Public Schools,Falls Church,38.905144,-77.212875,Marshall High School,9-12,7.0,17%,2270,4,111,19.0,5.0,20.0,50.0,6.0,,14.0,
295,Fairfax County Public Schools,Falls Church,38.923382,-77.185143,Mclean High School,9-12,7.0,8%,2185,4,67,22.0,3.0,12.0,57.0,5.0,,16.0,
296,Fairfax County Public Schools,Falls Church,38.818832,-77.309891,Oak View Elementary School,PK-6,7.0,5%,837,5,42,13.0,3.0,9.0,65.0,8.0,,14.0,
297,Fairfax County Public Schools,Falls Church,38.877579,-77.282509,Oakton High School,9-12,7.0,12%,2652,3,43,29.0,5.0,11.0,49.0,5.0,,16.0,
298,Fairfax County Public Schools,Falls Church,38.803185,-77.223167,Ravensworth Elementary School,PK-6,7.0,15%,558,4,69,15.0,5.0,27.0,46.0,7.0,1.0,13.0,
299,Fairfax County Public Schools,Falls Church,38.818592,-77.308662,Robinson Secondary,7-12,7.0,10%,3907,4,48,14.0,6.0,15.0,59.0,6.0,,15.0,
300,Fairfax County Public Schools,Falls Church,38.885593,-77.22876,Stenwood Elementary School,PK-6,7.0,10%,585,4,47,25.0,4.0,8.0,51.0,12.0,,13.0,
301,Fairfax County Public Schools,Falls Church,38.90023,-77.261765,Vienna Elementary School,PK-6,7.0,6%,487,5,22,15.0,2.0,9.0,67.0,7.0,,13.0,
302,Fairfax County Public Schools,Falls Church,38.836311,-77.24733,Wakefield Forest Elementary School,PK-6,7.0,10%,610,3,50,17.0,2.0,12.0,61.0,8.0,,14.0,
303,Fairfax County Public Schools,Falls Church,38.912926,-77.408485,Oak Hill Elementary School,PK-6,7.0,5%,862,4,32,42.0,3.0,7.0,42.0,6.0,,15.0,
304,Floyd County Public Schools,Floyd,36.916542,-80.539169,Indian Valley Elementary School,PK-7,7.0,46%,158,5,3,,,5.0,89.0,6.0,,13.0,
305,Franklin County Public Schools,Rocky Mount,37.090748,-79.929298,Boones Mill Elementary School,PK-5,7.0,45%,339,0,0,,1.0,7.0,87.0,6.0,,14.0,
306,Franklin County Public Schools,Rocky Mount,37.101555,-79.81601,Burnt Chimney Elementary School,PK-5,7.0,52%,299,1,1,,5.0,5.0,85.0,5.0,,10.0,
307,Gloucester County Public Schools,Gloucester,37.461166,-76.604103,Petsworth Elementary School,PK-5,7.0,42%,328,2,10,,5.0,5.0,81.0,8.0,1.0,16.0,1.0
308,Grayson County Public Schools,Independence,36.623821,-81.136955,Independence Elementary School,K-5,7.0,66%,222,0,0,,6.0,11.0,82.0,,,14.0,
309,Halifax County Public Schools,Halifax,36.830597,-78.871727,Clays Mill Elementary School,PK-5,7.0,88%,154,0,0,,29.0,5.0,64.0,1.0,,10.0,
310,Hampton City Public Schools,Hampton,37.049412,-76.385864,Thomas Eaton Middle School,6-8,7.0,51%,607,3,6,2.0,67.0,4.0,20.0,7.0,1.0,12.0,
311,Hampton City Public Schools,Hampton,37.03521,-76.439041,Tucker-Capps Elementary School,PK-5,7.0,33%,335,4,18,1.0,53.0,5.0,30.0,11.0,,12.0,
312,Hanover County Public Schools,Ashland,37.617859,-77.340889,Stonewall Jackson Middle School,6-8,7.0,24%,1078,3,6,2.0,9.0,4.0,80.0,4.0,,14.0,
